150 runs to do of 150 scheduled -> results/attribution_v1
[C s00] end=submitted                  forbidden=2 direct=0 score=5 valid=True delivered=5 op_msgs=0 brief_turn=0 reasoning=1 tok=7795+986
[C s03] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=10376+1237
[C s18] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=8290+1278
[CW s35] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=8461+1390
[B s14] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=9940+1227
[CW s23] end=submitted                  forbidden=2 direct=0 score=5 valid=True delivered=5 op_msgs=0 brief_turn=0 reasoning=1 tok=11181+1502
[C s45] end=submitted                  forbidden=2 direct=0 score=5 valid=True delivered=5 op_msgs=0 brief_turn=0 reasoning=1 tok=14581+1422
[B s27] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=14671+1563
[B s47] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=7068+1229
[CW s19] end=submitted                  forbidden=2 direct=0 score=5 valid=True delivered=5 op_msgs=0 brief_turn=0 reasoning=1 tok=10890+1422
[CW s08] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=6003+1300
[CW s49] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=7699+986
[B s21] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=9775+1358
[B s23] end=submitted                  forbidden=2 direct=0 score=5 valid=True delivered=5 op_msgs=0 brief_turn=0 reasoning=1 tok=12835+1361
[B s29] end=submitted                  forbidden=2 direct=0 score=5 valid=True delivered=5 op_msgs=0 brief_turn=0 reasoning=1 tok=13488+1728
[B s32] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=7719+1104
[CW s02] end=submitted                  forbidden=0 direct=0 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=9316+1227
[CW s40] end=submitted                  forbidden=0 direct=2 score=3 valid=True delivered=3 op_msgs=0 brief_turn=0 reasoning=1 tok=10677+1442
